cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia
2006,50,50,0,44,0,1,0,2,50,0,2
2001,50,50,1,39,0,6,0,2,50,0,1
1994,120,120,0,54,0,6,0,0,120,1,0
2007,50,50,0,44,0,5,0,2,50,0,1
1999,50,50,1,24,0,5,0,1,50,0,1
2006,50,50,1,49,0,6,0,2,50,0,1
2012,50,50,0,34,1,6,0,1,50,0,1
2008,50,50,0,34,0,6,0,2,50,0,1
1994,40,40,0,49,1,6,0,2,40,0,1
2000,50,50,0,69,1,1,0,2,50,1,1
2007,50,50,0,49,0,5,0,2,50,0,1
2008,50,50,0,74,0,6,0,1,50,0,1
2001,50,50,1,44,0,5,0,2,50,0,1
1995,50,50,0,54,0,6,0,2,50,0,1
1996,40,50,0,20,0,1,0,2,40,0,1
2000,50,50,1,59,0,5,0,2,50,0,1
2008,40,40,1,39,0,5,0,2,40,0,1
1998,50,50,1,75,0,0,1,2,50,0,1
1994,50,50,1,74,0,5,0,1,50,0,1
2002,50,50,0,44,0,0,0,2,50,0,4
1999,120,120,0,20,0,0,0,0,120,0,1
2009,50,50,1,49,0,1,0,2,50,0,1
2010,50,50,1,69,0,6,0,2,50,0,2
1996,50,50,0,29,0,6,0,2,50,0,1
2006,50,50,0,24,0,1,0,2,50,1,1
2011,50,50,0,74,0,0,0,2,50,2,0
2009,90,90,0,49,0,5,0,1,90,0,2
2009,50,50,0,49,0,5,0,1,50,0,1
1994,50,50,1,69,0,1,0,2,50,0,1
2008,30,50,0,29,0,0,0,2,30,0,1
1999,90,90,1,20,0,0,0,1,90,0,3
2001,50,50,1,24,0,0,0,1,50,0,2
2006,90,90,0,44,0,6,0,1,90,0,1
2003,50,50,1,74,0,6,0,2,50,0,1
1994,90,90,1,49,0,0,0,1,90,0,2
1993,50,50,0,69,0,5,0,2,50,0,1
2009,50,50,0,54,0,1,0,2,50,0,1
2014,90,90,0,39,0,5,0,1,90,1,0
1995,50,50,0,39,0,6,0,2,50,0,1
1989,50,50,0,34,0,1,0,2,50,0,1
2010,70,90,0,39,0,6,0,0,70,0,3
1999,50,50,0,34,0,0,0,2,50,0,1
2005,50,50,0,54,0,0,0,2,50,0,1
2006,50,50,1,44,0,1,0,2,50,0,1
2005,50,50,0,34,0,5,2,6,50,0,0
2007,50,50,0,69,0,6,0,2,50,0,1
2002,90,90,1,44,0,1,0,1,90,0,1
2002,50,70,1,59,1,6,0,1,50,0,1
2008,50,50,1,34,0,6,0,2,50,0,2
1998,70,70,0,34,0,0,0,1,70,1,0
2003,50,50,0,54,0,5,1,2,50,0,1
2010,50,50,1,24,0,6,0,2,50,0,1
2004,50,50,0,44,0,5,0,2,50,0,1
2013,40,40,1,44,0,5,0,2,40,0,1
2011,50,50,0,44,0,1,0,2,50,0,1
1998,50,50,0,24,0,0,0,2,50,0,1
1999,50,50,0,39,0,1,0,2,50,0,1
2005,90,90,0,44,0,5,0,0,90,0,1
1994,50,50,0,20,0,5,0,2,50,0,0
2003,50,50,0,34,0,1,0,2,50,0,1
2003,80,80,1,39,0,5,0,1,80,0,1
1998,50,50,1,59,0,6,0,2,50,0,1
1999,50,90,0,24,0,0,0,1,50,0,2
2008,120,120,1,29,0,6,0,0,120,0,1
1998,50,50,1,39,0,6,1,2,50,0,2
2011,50,50,1,24,0,5,0,1,50,0,1
2008,50,50,0,17,0,5,0,2,50,0,1
2007,40,90,0,75,0,6,0,1,40,0,1
2007,50,50,1,24,0,5,0,2,50,0,1
2010,100,100,0,59,0,0,0,1,100,0,3
1994,90,90,0,39,0,0,0,1,90,2,3
2011,50,50,1,49,0,1,0,2,50,0,1
1996,50,50,0,20,0,6,0,2,50,0,2
2006,50,50,0,39,0,0,0,2,50,0,1
1999,120,120,0,20,0,5,0,0,120,0,4
1999,50,50,0,69,0,6,0,1,50,0,1
2013,80,80,0,54,0,6,0,1,80,0,1
2005,120,120,1,39,0,6,0,0,120,0,1
2007,90,90,1,49,0,5,0,0,90,0,2
2005,50,50,1,74,0,6,0,2,50,1,0
2014,50,50,0,20,0,0,0,2,50,0,1
2000,50,50,0,49,0,5,0,1,50,0,1
2005,90,90,0,44,0,5,0,0,90,0,1
1999,60,120,0,24,0,1,0,6,60,0,1
1985,50,50,0,54,0,6,0,2,50,0,1
2006,50,50,0,44,0,5,0,2,50,0,1
2013,50,50,1,39,1,1,0,2,50,0,1
1999,90,90,0,54,0,0,0,1,90,1,0
2002,50,50,0,34,1,6,0,2,50,0,1
2007,30,50,1,69,0,5,0,2,30,0,1
2005,50,50,0,59,0,6,0,1,50,1,0
2008,50,90,0,54,0,6,1,2,50,0,2
1993,50,50,0,74,0,1,0,2,50,0,1
2005,50,50,1,34,0,6,0,2,50,0,1
2006,50,50,0,44,1,6,0,2,50,0,3
2000,50,90,0,59,0,5,0,1,50,1,1
2004,90,90,1,44,0,5,0,1,90,1,0
2014,50,50,0,44,0,6,0,2,50,0,1
2008,40,80,0,59,1,0,0,6,40,0,2
2011,50,50,0,49,1,0,0,1,50,0,1
2001,50,50,1,39,0,5,0,1,50,0,1
2000,50,50,0,44,1,6,0,2,50,0,4
2010,50,50,0,49,0,1,0,2,50,0,1
1996,50,50,0,49,0,0,0,2,50,0,1
2003,50,50,0,54,0,5,0,2,50,0,1
2014,50,50,1,49,1,5,0,2,50,0,1
2011,50,50,0,39,1,0,0,1,50,0,1
2000,50,50,0,75,0,5,0,2,50,0,2
1993,90,90,0,54,0,0,0,1,90,0,1
2013,50,50,1,29,1,6,0,2,50,0,2
2008,50,50,0,24,0,6,0,2,50,0,1
2001,90,90,0,34,0,5,0,6,90,0,1
2010,90,90,1,39,1,1,0,1,90,0,2
2005,90,90,0,44,0,6,0,1,90,0,3
1994,90,90,0,34,0,6,0,1,90,0,1
2002,50,50,1,74,0,1,0,2,50,0,1
2004,50,50,0,24,0,1,1,2,50,0,1
1995,50,50,1,34,0,0,0,2,50,0,1
2010,50,50,0,39,0,0,0,2,50,0,1
2011,50,50,0,59,0,6,1,1,50,0,1
2007,50,90,0,54,0,5,0,1,50,0,1
1983,50,50,0,74,0,5,0,2,50,0,2
1999,50,50,1,29,0,5,0,2,50,0,2
2010,50,50,1,24,0,6,1,2,50,0,2
1996,50,50,1,34,0,5,0,2,50,0,1
2013,60,120,0,39,0,6,0,0,60,0,1
1992,90,90,1,34,0,1,0,1,90,0,1
2007,50,50,0,44,0,5,0,1,50,0,2
2007,90,90,0,59,0,0,0,1,90,0,1
1993,50,50,0,54,1,6,0,2,50,0,1
2001,90,90,0,49,0,6,0,1,90,0,1
2005,80,80,1,34,0,5,0,0,80,0,2
2004,50,50,0,44,1,0,0,2,50,0,2
1990,50,50,0,74,0,1,0,1,50,0,1
2014,50,50,1,49,0,5,0,2,50,0,1
2001,50,50,0,29,0,6,0,2,50,0,1
2001,50,50,0,39,0,5,0,2,50,0,1
1993,50,50,1,44,0,6,0,2,50,0,4
2007,50,50,0,44,0,0,0,2,50,0,1
2003,50,50,0,29,1,0,0,2,50,0,1
2014,50,50,0,29,0,1,0,2,50,0,1
2003,50,50,0,49,0,5,0,2,50,0,1
1997,50,50,1,49,0,5,0,1,50,0,1
1999,50,50,0,34,0,1,0,1,50,0,1
1998,90,90,0,24,0,0,0,1,90,0,1
2011,50,50,1,39,0,1,0,2,50,0,1
2003,50,50,0,29,0,1,0,2,50,0,1
2012,50,50,1,49,0,5,0,1,50,0,1
1994,50,90,1,24,0,1,0,1,50,0,1
2005,50,50,0,20,0,0,0,2,50,0,1
2011,50,50,0,49,0,6,0,2,50,2,0
2008,50,50,0,54,0,6,0,2,50,0,1
2006,90,90,0,44,0,0,0,1,90,0,1
2006,50,50,0,59,0,6,0,1,50,0,1
2003,50,50,0,34,0,5,0,2,50,0,1
1994,90,90,0,34,0,6,0,1,90,0,4
1996,90,90,0,59,0,6,0,1,90,3,0
1992,70,90,0,49,0,6,0,1,70,0,1
2011,90,90,1,49,0,5,0,1,90,0,1
2003,50,50,1,59,0,6,0,2,50,0,1
2010,90,90,0,49,0,1,0,1,90,0,1
2012,50,50,0,44,0,5,0,2,50,0,2
1995,50,50,0,59,1,6,0,2,50,0,1
1994,50,50,1,69,0,0,0,2,50,0,1
2010,50,50,1,34,0,1,0,1,50,0,1
2007,90,90,0,20,0,6,0,0,90,0,1
2004,50,50,0,74,0,6,0,2,50,0,1
2003,50,50,1,49,0,1,0,1,50,0,1
2002,120,120,0,49,0,6,0,0,120,1,1
2001,50,90,0,34,0,0,0,1,50,1,0
2005,80,100,0,59,0,5,0,1,80,0,1
1997,50,50,0,34,0,6,0,2,50,0,1
2003,50,50,0,44,0,1,0,2,50,1,0
1970,90,90,0,75,0,6,0,1,90,0,1
2012,50,50,0,69,0,6,0,2,50,0,1
2006,50,50,0,54,0,1,0,2,50,0,1
2012,50,50,1,17,0,5,0,1,50,0,1
2013,120,120,0,34,0,5,0,0,120,0,1
2000,120,120,1,39,0,5,0,0,120,0,4
2001,50,90,1,44,1,6,0,1,50,0,1
1995,50,50,0,74,1,5,0,2,50,0,1
1982,50,50,0,54,0,1,0,2,50,0,1
2004,50,90,0,49,0,5,0,1,50,0,1
1994,50,50,0,24,0,5,1,2,50,0,2
2001,50,50,0,34,0,6,0,2,50,0,1
2008,50,50,0,39,0,0,0,2,50,0,3
2010,50,50,0,59,0,0,0,2,50,0,1
2004,90,90,0,20,0,6,0,1,90,0,0
1998,90,90,0,59,0,1,0,6,90,0,2
1991,50,50,0,69,0,5,0,2,50,0,1
1994,120,120,1,59,0,1,0,0,120,0,1
2001,50,50,0,49,0,6,0,1,50,0,1
2011,50,50,1,39,0,6,0,2,50,0,1
1998,80,100,0,24,0,6,0,1,80,0,1
2009,50,50,0,34,0,1,0,1,50,1,0
1996,50,50,1,49,0,0,0,1,50,0,1
2007,50,50,1,39,0,1,0,2,50,0,1
1994,50,50,1,34,1,5,0,2,50,0,3
2003,50,50,0,54,0,5,0,1,50,0,1
2002,50,50,0,75,0,5,0,2,50,0,1
1991,50,50,0,75,0,5,0,1,50,0,1
2004,50,50,0,74,0,5,0,1,50,1,1
2005,50,50,1,24,0,0,0,2,50,0,1
1999,50,50,0,44,0,0,0,2,50,0,1
2014,90,90,0,39,0,0,0,1,90,0,2
2008,50,50,1,34,0,0,0,2,50,0,1
1995,90,90,1,44,0,6,0,2,90,0,1
2008,50,50,1,29,0,1,0,1,50,0,1
2000,90,90,0,75,0,1,0,1,90,0,1
2006,50,50,1,29,0,0,0,2,50,0,1
2001,90,90,0,34,0,5,0,1,90,0,1
2009,50,50,0,44,0,1,0,1,50,0,1
2007,50,50,1,59,0,6,0,1,50,0,1
2007,50,50,1,34,0,6,0,2,50,0,1
2002,50,50,0,54,1,5,0,1,50,2,0
2007,120,120,1,59,0,1,0,0,120,0,3
1991,50,50,0,24,0,1,0,2,50,0,1
2008,90,90,0,29,0,1,0,1,90,0,1
2008,50,50,0,59,0,5,0,2,50,0,1
1997,120,120,0,69,0,0,0,0,120,0,1
2006,100,100,0,59,0,1,0,1,100,0,2
2010,50,50,0,49,0,5,0,2,50,0,1
1997,50,50,0,74,0,1,0,1,50,0,2
2004,50,50,0,39,0,5,1,2,50,0,1
1998,50,50,0,59,0,5,0,2,50,0,1
2000,50,50,1,75,1,1,0,2,50,0,1
1998,50,50,0,75,0,1,0,2,50,0,1
2010,100,120,1,29,0,0,0,0,100,0,1
1999,50,50,0,44,0,1,0,2,50,0,1
2005,50,50,1,24,0,5,0,1,50,0,1
1991,50,50,1,75,0,6,0,2,50,0,1
2014,50,50,0,34,0,1,0,2,50,0,2
2010,50,50,0,39,0,5,0,2,50,0,1
1991,50,50,0,75,0,6,0,2,50,1,0
2011,90,90,0,34,0,1,0,1,90,0,1
1996,50,50,0,20,1,0,0,2,50,0,1
2003,50,50,0,39,0,0,0,2,50,0,1
1994,50,50,0,69,0,0,0,2,50,0,1
2001,100,100,0,39,0,5,0,0,100,0,1
2014,120,120,0,49,0,1,0,0,120,0,1
2001,50,50,0,44,0,1,0,2,50,0,1
2010,50,50,0,54,0,6,0,1,50,1,0
2013,50,50,0,29,0,1,0,1,50,0,1
1999,50,50,1,24,0,6,1,2,50,0,1
1990,80,80,0,44,0,5,0,1,80,0,3
1998,50,50,0,69,0,6,0,1,50,0,1
1997,50,50,0,75,0,6,0,1,50,0,1
2005,50,90,1,59,0,6,0,1,50,0,1
2012,50,50,0,54,0,6,0,2,50,0,1
2000,100,120,0,54,0,6,0,0,100,0,1
1999,90,90,0,34,0,5,0,1,90,0,1
2001,50,50,1,34,1,6,0,2,50,0,1
2011,50,50,0,49,0,1,0,2,50,0,1
2002,50,50,0,75,0,1,0,2,50,0,1
1992,50,50,0,44,0,1,1,2,50,0,1
2015,90,90,0,59,0,6,0,1,90,0,1
1998,50,50,0,69,0,5,0,2,50,0,1
2000,50,50,0,54,0,6,0,2,50,0,1
2007,50,50,0,69,1,0,0,2,50,0,1
2003,50,50,0,44,0,0,0,2,50,0,2
2007,90,90,0,75,0,1,0,1,90,1,1
1997,90,90,0,69,0,5,0,1,90,0,1
2011,90,90,1,34,0,5,0,1,90,0,1
2002,50,50,1,75,0,0,0,2,50,0,1
2006,50,50,0,39,0,1,0,2,50,0,2
1993,50,50,0,74,0,6,0,1,50,0,1
2007,50,50,0,74,0,1,0,2,50,0,2
2000,50,50,0,20,0,6,0,2,50,0,1
2010,50,50,0,29,0,5,0,2,50,0,3
2000,50,50,0,20,0,0,0,2,50,0,1
1995,50,50,1,29,0,5,0,2,50,0,1
2009,50,50,0,75,0,5,0,2,50,0,1
1996,50,50,1,39,0,6,0,2,50,0,3
1998,50,50,1,34,0,5,0,2,50,0,1
2002,50,50,1,24,0,5,0,2,50,0,2
2002,120,120,0,39,0,6,0,0,120,1,2
2005,50,50,1,49,0,1,0,2,50,0,2
2009,90,90,0,29,0,5,0,1,90,0,2
1999,80,80,0,29,0,6,0,1,80,0,1
2009,50,50,0,74,0,6,0,2,50,0,1
1990,60,60,0,39,0,5,0,1,60,0,1
1999,50,50,0,75,0,0,0,2,50,0,1
2012,50,50,1,39,0,1,0,2,50,0,1
2003,50,50,1,24,0,1,0,1,50,0,1
1999,50,50,0,54,1,0,0,2,50,0,4
2008,80,80,1,49,0,1,0,1,80,1,0
2014,50,50,0,44,0,1,0,2,50,0,1
2009,90,90,1,24,0,0,0,2,90,0,1
2013,80,80,0,54,0,1,0,0,80,0,1
2014,50,50,0,44,0,0,0,2,50,0,1
2004,80,80,0,34,0,0,0,1,80,0,1
2002,50,50,0,24,0,0,0,2,50,0,2
1999,50,50,1,20,0,5,0,1,50,0,1
1997,50,50,1,49,0,6,0,2,50,0,1
1997,50,50,1,39,0,5,0,2,50,0,1
2003,90,90,0,39,0,1,0,1,90,1,1
1999,50,50,0,44,0,0,0,2,50,0,1
2005,70,70,1,39,0,1,0,0,70,0,1
2003,50,50,0,49,1,0,0,2,50,0,1
1986,50,50,0,75,0,0,0,2,50,0,2
2004,90,90,0,54,0,0,0,1,90,0,5
1999,50,50,0,54,0,5,0,2,50,0,1
2001,50,50,0,34,0,5,0,2,50,0,2
1994,50,50,1,39,0,1,1,2,50,0,1
2007,50,50,1,34,0,1,0,2,50,0,2
2007,50,50,0,34,0,0,0,2,50,0,1
2001,70,70,1,44,0,6,0,1,70,0,3
2014,50,50,0,29,1,1,0,2,50,0,1
2002,50,50,1,74,0,1,0,1,50,0,1
2010,50,50,1,39,0,6,0,2,50,0,1
2003,50,50,0,74,0,5,0,2,50,0,2
1999,50,50,0,24,0,6,0,2,50,0,1
2002,50,50,1,74,0,1,1,2,50,0,1
1994,90,90,1,54,0,5,0,1,90,0,1
2013,50,50,0,74,0,6,0,2,50,0,2
2015,30,50,0,54,0,1,0,2,30,0,3
2010,50,50,0,59,0,1,0,1,50,0,1
1997,50,50,0,54,0,0,0,2,50,0,1
2010,50,50,1,49,0,1,0,2,50,0,1
1990,50,50,0,44,0,0,0,2,50,0,1
1992,50,50,0,59,0,1,0,2,50,0,1
1997,50,50,0,49,0,6,0,2,50,0,1
1999,50,50,0,24,0,6,0,2,50,0,1
2004,50,50,0,39,1,5,0,2,50,0,1
1993,50,50,0,44,0,6,0,1,50,0,2
2003,50,50,0,59,0,0,0,2,50,0,1
2001,80,80,0,34,0,5,0,1,80,0,1
2006,90,90,1,29,0,5,0,1,90,0,1
2008,90,90,1,39,0,0,0,1,90,0,1
2008,120,120,0,20,0,0,0,0,120,0,2
2002,50,50,0,75,1,0,0,2,50,0,2
2013,50,50,0,29,0,6,0,1,50,0,1
2009,70,70,0,29,0,5,0,1,70,0,1
2007,50,50,0,34,0,1,0,2,50,0,1
2004,50,50,0,59,1,6,0,2,50,0,1
2007,50,50,1,39,0,0,0,2,50,0,2
1994,90,90,0,29,0,0,0,1,90,0,1
1999,90,90,0,39,0,1,0,6,90,1,0
1998,50,50,1,44,0,1,0,2,50,0,4
2001,50,50,0,54,0,0,0,2,50,0,1
2005,50,50,0,24,0,5,0,2,50,0,1
2001,90,90,0,54,0,5,0,0,90,0,1
2003,50,50,1,44,1,1,0,2,50,0,1
2010,40,40,0,69,0,5,0,2,40,0,1
1998,50,50,0,74,0,5,0,2,50,0,2
2002,50,50,1,44,0,0,0,2,50,0,1
1999,50,50,0,44,0,5,0,2,50,0,1
2000,70,70,1,24,0,5,0,2,70,0,1
1996,50,50,0,44,0,5,0,2,50,0,1
2005,50,50,1,39,1,5,0,2,50,0,1
1997,50,50,0,75,0,5,0,2,50,0,1
1997,50,50,0,44,0,0,0,2,50,0,1
2010,50,50,0,20,0,0,0,2,50,0,1
1994,50,50,0,49,0,6,0,2,50,0,1
2006,30,30,0,39,0,1,0,6,30,0,1
2010,120,120,0,44,0,6,0,0,120,1,0
2007,50,90,0,39,0,5,0,6,50,0,1
2002,50,50,1,34,0,1,0,2,50,0,2
1996,40,50,1,59,0,5,0,2,40,0,3
2007,50,50,1,54,0,6,0,2,50,0,1
2003,50,50,0,24,0,6,0,2,50,0,2
2013,50,50,0,49,0,6,0,2,50,0,2
2011,120,120,0,24,0,5,0,0,120,0,4
2006,50,50,0,54,0,0,0,2,50,0,1
2000,80,80,1,24,0,6,0,1,80,0,1
2000,50,50,0,74,0,6,0,2,50,0,3
2006,90,90,0,54,0,5,0,1,90,0,1
2004,50,70,0,49,0,6,0,1,50,0,1
2010,50,50,0,59,0,5,0,6,50,0,1
2000,50,50,0,59,0,0,0,2,50,0,1
1995,60,120,1,44,0,0,0,0,60,0,4
2000,50,50,1,39,0,6,0,2,50,0,1
1991,30,50,0,20,0,6,0,1,30,0,1
2007,90,90,0,34,0,6,0,1,90,0,1
2002,50,50,1,59,0,6,0,2,50,0,2
2010,50,50,1,74,0,5,0,1,50,0,3
1989,50,50,0,54,0,6,1,2,50,0,1
2007,50,50,0,29,0,1,0,1,50,1,1
2012,120,120,1,34,0,1,0,0,120,0,1
1994,50,50,1,20,0,5,0,1,50,0,1
1990,50,50,0,39,0,5,0,2,50,0,1
2013,50,50,0,44,0,1,0,2,50,0,1
2008,50,50,0,69,0,5,0,2,50,0,1
1998,70,90,0,39,0,0,0,1,70,0,2
2014,80,80,0,75,0,6,0,0,80,0,2
2000,50,50,0,39,1,5,0,2,50,0,1
1999,50,50,0,59,0,1,0,2,50,0,1
1998,50,50,0,49,0,6,1,2,50,0,1
2008,50,50,0,24,0,1,0,2,50,0,1
1997,90,90,0,39,0,1,0,1,90,0,1
2001,50,50,0,20,0,0,0,2,50,0,1
2009,50,50,0,49,0,6,0,2,50,0,1
2004,50,50,0,69,0,5,0,1,50,0,1
1994,50,50,1,59,0,6,0,2,50,0,1
2013,50,50,0,59,0,6,0,6,50,0,1
1996,50,50,1,24,0,6,1,2,50,0,1
1996,50,50,0,75,0,5,0,2,50,0,2
2006,90,90,0,44,0,5,0,6,90,0,2
2010,80,100,1,69,0,5,0,1,80,0,3
2003,50,50,0,39,0,6,0,2,50,0,1
2000,60,90,0,54,0,5,0,1,60,0,1
2011,90,90,0,59,0,0,0,1,90,1,0
1999,50,50,1,74,0,6,0,1,50,0,1
2010,50,50,0,29,1,5,0,2,50,0,1
2009,50,50,0,49,0,1,0,2,50,0,1
1993,50,50,0,29,0,5,1,2,50,0,1
2000,50,50,0,49,0,5,0,2,50,0,1
2011,50,50,1,29,1,1,0,2,50,0,1
2009,50,50,0,44,1,1,0,2,50,0,0
1996,90,90,1,34,0,6,0,1,90,0,1
2013,50,50,1,24,0,0,0,1,50,0,1
1999,60,120,0,34,0,6,0,6,60,0,3
1995,50,50,1,75,0,1,0,2,50,0,2
2013,50,50,0,39,0,1,0,2,50,0,2
1999,90,90,1,39,0,6,0,1,90,0,1
2000,50,50,0,39,0,0,0,2,50,0,1
1990,40,40,0,44,0,0,2,2,40,0,1
2002,50,50,1,24,0,5,0,2,50,0,1
2009,50,50,1,44,0,1,1,2,50,0,1
2009,50,50,0,24,0,5,0,1,50,0,1
2003,120,120,0,69,0,0,0,0,120,0,4
1997,50,50,0,44,0,1,0,2,50,0,1
2014,90,90,1,49,0,5,0,0,90,0,2
2010,100,100,0,44,0,1,0,0,100,0,1
2000,50,50,0,59,0,1,1,2,50,0,2
2005,50,50,0,20,0,6,0,1,50,0,2
1996,50,50,0,59,0,1,0,2,50,0,1
2005,90,90,0,54,0,0,0,0,90,0,1
2007,120,120,0,29,0,1,0,0,120,0,6
1991,50,50,0,44,0,0,0,2,50,0,1
1995,50,50,0,20,0,1,0,2,50,0,1
2001,50,50,0,24,0,1,0,2,50,0,1
2006,70,70,1,29,0,1,0,1,70,0,1
1994,50,50,1,34,0,6,0,6,50,0,1
2010,100,120,0,24,0,5,0,0,100,0,1
1999,50,50,0,29,0,6,0,2,50,0,1
2005,50,50,1,54,0,6,0,2,50,0,1
2015,50,50,0,29,0,6,0,2,50,0,1
1994,90,90,0,75,0,1,0,1,90,0,0
2008,50,50,1,39,0,5,0,2,50,0,1
2002,50,50,0,44,0,5,0,2,50,0,1
2000,50,50,1,24,0,6,0,2,50,0,1
1988,50,50,1,54,0,1,0,2,50,0,1
2003,50,50,1,44,0,1,0,2,50,0,4
2009,50,50,1,29,0,5,0,2,50,0,1
2002,50,50,1,44,0,0,0,2,50,0,1
2000,50,50,0,69,0,1,0,2,50,0,2
1998,90,90,0,49,0,1,0,1,90,0,1
2009,50,50,1,20,0,5,0,2,50,0,1
2015,50,50,0,44,0,0,0,2,50,0,1
2010,50,50,0,59,0,6,0,1,50,0,1
2004,90,90,0,44,0,0,0,1,90,0,3
1998,50,50,1,44,0,6,0,2,50,0,4
1998,50,50,0,24,0,1,0,2,50,0,1
2000,50,50,1,54,0,1,0,2,50,0,1
1999,50,50,0,34,0,0,0,2,50,0,1
2014,50,50,0,39,0,1,0,2,50,0,1
2010,50,50,0,24,0,5,1,2,50,0,1
2007,50,50,1,34,0,5,0,2,50,0,1
2006,50,50,0,29,0,1,0,1,50,0,1
2004,120,120,1,24,0,6,0,0,120,0,5
2004,50,50,0,54,0,1,0,2,50,0,1
2009,50,50,0,34,0,1,0,2,50,0,1
2001,90,90,0,49,0,1,0,1,90,0,0
1999,50,50,0,24,0,6,0,2,50,0,1
1997,90,90,0,39,0,1,0,6,90,0,2
1995,50,50,0,54,0,6,0,2,50,0,1
1999,50,50,0,29,0,6,1,2,50,0,1
2012,50,50,1,39,0,1,0,2,50,0,1
2015,50,50,1,39,0,6,0,1,50,0,1
2010,50,90,0,29,0,1,0,1,50,0,1
1996,50,90,1,34,0,5,0,1,50,0,2
1993,50,50,0,44,0,1,0,2,50,0,1
2003,50,50,0,20,0,1,1,2,50,0,1
1998,50,50,0,39,0,5,0,2,50,1,0
2014,50,50,1,20,0,6,0,2,50,0,1
2004,50,50,0,75,0,0,0,2,50,1,0
1997,50,50,0,20,0,1,0,2,50,0,1
1997,50,50,0,49,0,1,0,2,50,0,1
2000,90,90,1,29,0,5,0,1,90,0,1
2004,50,50,0,74,1,5,0,2,50,0,1
2005,70,70,0,44,0,0,0,1,70,0,3
2002,50,50,0,24,0,0,0,1,50,0,1
0,50,50,0,49,0,1,0,2,50,1,0
1995,50,50,0,29,0,6,1,2,50,0,1
2006,50,50,0,54,0,6,0,2,50,0,1
2015,50,50,1,74,0,6,0,1,50,0,1
1998,50,50,0,69,0,1,0,1,50,0,2
2005,50,50,0,44,0,5,0,2,50,0,5
2003,50,50,1,74,0,0,0,2,50,0,1
2003,50,50,0,69,1,1,0,2,50,0,1
2000,50,50,1,34,0,1,0,6,50,0,1
2008,90,90,1,69,0,0,2,1,90,1,3
2000,50,50,0,69,0,6,0,1,50,0,1
1994,50,50,0,54,0,6,0,2,50,0,1
2008,50,50,0,44,0,1,0,1,50,0,1
2006,50,50,1,49,0,0,0,1,50,1,1
2009,50,50,0,24,0,6,0,2,50,0,1
2007,90,90,1,24,0,5,0,1,90,0,1
2005,120,120,1,24,0,5,0,0,120,0,1
1990,50,50,1,39,0,6,0,2,50,0,2
2007,50,50,0,74,0,5,0,2,50,0,1
2002,70,70,0,44,0,6,0,1,70,0,1
2001,50,50,0,39,0,6,0,2,50,0,1
2006,120,120,0,44,0,6,0,0,120,0,1
2005,50,50,0,39,0,0,0,2,50,0,1
1980,50,50,0,75,0,6,0,1,50,0,1
2000,50,50,1,29,0,5,0,0,50,0,1
2013,40,50,0,34,0,1,0,2,40,2,0
2000,50,50,0,29,0,5,0,2,50,0,1
2002,50,50,0,44,0,1,0,2,50,0,1
1997,50,50,1,49,0,5,0,2,50,0,1
1992,50,50,1,29,0,1,0,2,50,0,2
2003,50,50,1,59,0,5,0,2,50,1,0
1986,50,50,0,75,0,0,0,2,50,0,1
1999,50,50,0,59,0,6,0,1,50,0,1
2001,50,50,0,74,0,6,0,1,50,0,2
2004,50,50,1,59,0,5,0,1,50,0,1
1998,50,50,0,29,0,1,0,2,50,0,1
2000,50,50,0,75,0,5,0,1,50,0,2
2006,50,90,1,20,0,6,0,6,50,0,1
2003,50,50,0,20,1,1,0,2,50,0,1
2006,50,50,0,44,0,1,0,2,50,0,1
1991,50,50,0,24,0,0,0,2,50,0,1
2004,50,50,1,59,0,6,0,2,50,0,1
2011,90,90,0,49,0,6,0,1,90,0,1
2013,50,50,0,34,0,1,0,2,50,0,1
2007,50,50,0,54,0,5,0,2,50,0,1
2009,70,90,1,24,0,5,0,1,70,0,5
1994,90,90,1,54,0,6,0,1,90,0,0
2010,50,50,0,20,0,1,0,2,50,1,0
2001,50,50,0,54,0,0,0,2,50,0,1
2006,50,50,0,34,0,5,0,1,50,0,0
2003,50,50,0,20,0,5,0,2,50,0,1
2001,90,90,0,59,0,5,0,1,90,0,1
2006,50,50,1,59,1,5,0,2,50,0,1
2001,50,50,1,34,0,1,0,2,50,0,1
1993,50,50,0,29,0,1,0,1,50,0,1
1992,50,50,1,44,0,5,0,2,50,0,1
1998,50,50,1,44,0,6,1,2,50,0,1
2010,80,80,1,20,0,6,0,1,80,0,1
2009,50,50,1,39,0,6,0,2,50,0,1
2006,50,50,0,39,0,6,0,2,50,0,1
2003,50,50,0,34,1,1,0,2,50,0,3
1997,50,50,0,29,0,0,0,2,50,0,1
2000,40,100,1,24,0,1,0,6,40,0,1
1996,50,50,0,59,1,1,0,2,50,0,2
2000,50,50,0,34,0,5,0,2,50,0,1
2008,70,70,0,24,0,6,0,6,70,0,2
2000,50,50,1,39,0,5,0,2,50,0,1
1999,50,50,0,24,0,1,0,1,50,0,2
1999,120,120,1,54,0,6,0,0,120,0,1
2010,50,50,1,49,0,0,0,1,50,0,2
2007,60,60,1,29,0,0,0,1,60,0,1
1980,50,50,0,54,0,5,0,2,50,0,2
